station_id,station_name
1,คณะสหเวชศาสตร์
2,คณะวิทยาศาสตร์
3,คณะวิศวกรรมศาสตร์
5,คณะเศรษฐศาสตร์
6,คณะเภสัชศาสตร์
7,รร.สาธิตจุฬาฯ ฝ่ายมัธยม
8,ธรรมสถาน
9,คณะนิติศาสตร์
10,คณะสัตวแพทยศาสตร์
11,ศาลาพระเกี้ยว
12,แยกเฉลิมเผ่า
13,รร.เตรียมอุดมศึกษา
14,หอใน จุฬา
15,อาคารจามจุรี 10
16,ระเบียงจามจุรี
17,สำนักงานจุฬาฯ
18,คณะสถาปัตยกรรมศาสตร์
19,อาคารจุฬาพัฒน์ 13
20,ยูเซ็นเตอร์
21,คณะแพทยศาสตร์
22,รร.สาธิตจุฬาฯ ฝ่ายประถม
23,BTS National Stadium
24,คณะศิลปกรรมศาสตร์
25,BTS Siam
26,รร.สาธิตฯ ปทุมวัน
27,CU Sport Complex
28,อาคารมหามกุฎ
29,คณะครุศาสตร์
30,อาคารจามจุรี 9
31,คณะนิเทศศาสตร์
32,แอมพาร์ค จุฬา
