ID,station_id,bus_ID
0,1,2
1,1,4
2,2,2
3,2,4
4,3,1
5,3,2
6,3,3
7,3,4
8,3,5
9,5,2
10,5,4
11,6,1
12,6,3
13,6,5
14,7,4
15,8,2
16,8,4
17,9,4
18,10,1
19,10,3
20,10,5
21,11,1
22,11,2
23,11,3
24,11,4
25,11,5
26,12,1
27,12,3
28,12,5
29,13,1
30,13,3
31,13,5
32,14,2
33,15,2
34,15,4
35,16,5
36,17,2
37,17,4
38,18,1
39,18,2
40,18,3
41,18,4
42,18,5
43,19,2
44,19,4
45,20,4
46,21,3
47,22,2
48,22,4
49,23,2
50,23,4
51,24,1
52,24,2
53,24,3
54,24,4
55,24,5
56,25,1
57,25,3
58,25,5
59,26,1
60,26,3
61,26,5
62,27,2
63,27,4
64,28,2
65,28,4
66,29,2
67,29,4
68,30,2
69,30,4
70,31,5
71,32,4
